title,sort_option,imdb_id,category,listOrder
Academy Award for Best Cinematography,Release Date (Descending),tt0102138,Academy Awards,91
Academy Award for Best Cinematography,Release Date (Descending),tt0099348,Academy Awards,90
Academy Award for Best Cinematography,Release Date (Descending),tt0097441,Academy Awards,89
Academy Award for Best Cinematography,Release Date (Descending),tt0095647,Academy Awards,88
Academy Award for Best Cinematography,Release Date (Descending),tt0093389,Academy Awards,87
Academy Award for Best Cinematography,Release Date (Descending),tt0091530,Academy Awards,86
Academy Award for Best Cinematography,Release Date (Descending),tt0089755,Academy Awards,85
Academy Award for Best Cinematography,Release Date (Descending),tt0087553,Academy Awards,84
Academy Award for Best Cinematography,Release Date (Descending),tt0083922,Academy Awards,83
Academy Award for Best Cinematography,Release Date (Descending),tt0083987,Academy Awards,82
Academy Award for Best Cinematography,Release Date (Descending),tt0082979,Academy Awards,81
Academy Award for Best Cinematography,Release Date (Descending),tt0080009,Academy Awards,80
Academy Award for Best Cinematography,Release Date (Descending),tt0078788,Academy Awards,79
Academy Award for Best Cinematography,Release Date (Descending),tt0077405,Academy Awards,78
Academy Award for Best Cinematography,Release Date (Descending),tt0075860,Academy Awards,77
Academy Award for Best Cinematography,Release Date (Descending),tt0074235,Academy Awards,76
Academy Award for Best Cinematography,Release Date (Descending),tt0072684,Academy Awards,75
Academy Award for Best Cinematography,Release Date (Descending),tt0072308,Academy Awards,74
Academy Award for Best Cinematography,Release Date (Descending),tt0069467,Academy Awards,73
Academy Award for Best Cinematography,Release Date (Descending),tt0068327,Academy Awards,72
Academy Award for Best Cinematography,Release Date (Descending),tt0067093,Academy Awards,71
Academy Award for Best Cinematography,Release Date (Descending),tt0066319,Academy Awards,70
Academy Award for Best Cinematography,Release Date (Descending),tt0064115,Academy Awards,69
Academy Award for Best Cinematography,Release Date (Descending),tt0063518,Academy Awards,68
Academy Award for Best Cinematography,Release Date (Descending),tt0061418,Academy Awards,67
Academy Award for Best Cinematography,Release Date (Descending),tt0061184,Academy Awards,66
Academy Award for Best Cinematography,Release Date (Descending),tt0060665,Academy Awards,65
Academy Award for Best Cinematography,Release Date (Descending),tt0059712,Academy Awards,64
Academy Award for Best Cinematography,Release Date (Descending),tt0059113,Academy Awards,63
Academy Award for Best Cinematography,Release Date (Descending),tt0057831,Academy Awards,62
