title,sort_option,imdb_id,category
Academy Award for Best Picture,Release Date (Descending),tt9770150,Academy Awards
Academy Award for Best Picture,Release Date (Descending),tt10366460,Academy Awards
Academy Award for Best Picture,Release Date (Descending),tt6710474,Academy Awards
Academy Award for Best Picture,Release Date (Descending),tt15398776,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt15398776,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt1016150,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt1160419,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt10618286,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt8579674,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt6155172,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt1856101,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt3783958,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt1663202,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt2562232,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt1454468,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0454876,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0970179,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt1375666,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0499549,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt1010048,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0469494,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0457430,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0397535,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0338751,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0311113,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0257044,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0120737,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0190332,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0169547,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0120815,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0120338,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0116209,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0112573,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0110322,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0108052,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0105265,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0102138,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0099348,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0097441,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0095647,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0093389,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0091530,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0089755,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0087553,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0083922,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0083987,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0082979,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0080009,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0078788,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0077405,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0075860,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0074235,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0072684,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0072308,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0069467,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0068327,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0067093,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0066319,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0064115,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0063518,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0061418,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0061184,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0060665,Academy Awards
Academy Award for Best Cinematography,Release Date (Descending),tt0059712,Academy Awards
